ALGO_OPTS.OPTION0  	ALGO_OPTS.AbortOnReadErrors
CONTROL_OPTS.OPTION5   	CONTROL_OPTS.ActOnIR
CONTROL_OPTS.OPTION6   	CONTROL_OPTS.PVForBKCAL_OUT
CONTROL_OPTS.OPTION7   	CONTROL_OPTS.TrackInMan
CONTROL_OPTS.OPTION8   	CONTROL_OPTS.TrackEnable
CONTROL_OPTS.OPTION9   	CONTROL_OPTS.BalanceRamp
CONTROL_OPTS.OPTION10  	CONTROL_OPTS.DirectActing
CONTROL_OPTS.OPTION11  	CONTROL_OPTS.SPTrackRetainedTarg
CONTROL_OPTS.OPTION12  	CONTROL_OPTS.SPPVTrkInLOIMan
CONTROL_OPTS.OPTION13  	CONTROL_OPTS.SPPVTrkInROut
CONTROL_OPTS.OPTION14  	CONTROL_OPTS.SPPVTrkInMan
CONTROL_OPTS.OPTION15  	CONTROL_OPTS.BypassEnable

DEVICE_OPTS.OPTION0   	DEVICE_OPTS.PassiveOnActTimeout
DEVICE_OPTS.OPTION8   	DEVICE_OPTS.BusRestartPassive
DEVICE_OPTS.OPTION9   	DEVICE_OPTS.PassiveWhenConfirmed
DEVICE_OPTS.OPTION11  	DEVICE_OPTS.Trip
DEVICE_OPTS.OPTION12  	DEVICE_OPTS.ResetRequired
DEVICE_OPTS.OPTION13  	DEVICE_OPTS.Permissive
DEVICE_OPTS.OPTION14  	DEVICE_OPTS.SPTrack
DEVICE_OPTS.OPTION15  	DEVICE_OPTS.Interlock

DV_SLOT_CONFIG.OPTION0  DV_SLOT_CONFIG.ConfigSlot0
DV_SLOT_CONFIG.OPTION1  DV_SLOT_CONFIG.ConfigSlot1
DV_SLOT_CONFIG.OPTION2  DV_SLOT_CONFIG.ConfigSlot2
DV_SLOT_CONFIG.OPTION3  DV_SLOT_CONFIG.ConfigSlot3

FRSIPID_OPTS.OPTION0  	FRSIPID_OPTS.DynamicResetLimiting
FRSIPID_OPTS.OPTION1  	FRSIPID_OPTS.ExpandOutLimiting
FRSIPID_OPTS.OPTION2  	FRSIPID_OPTS.UseDelayedOUTonBadPV
FRSIPID_OPTS.OPTION3  	FRSIPID_OPTS.UseNonlinearGainModification

FORCE_OPTS.OPTION0	FORCE_OPTS.MulFrcAllowed
FORCE_OPTS.OPTION1	FORCE_OPTS.PermitNotReq
FORCE_OPTS.OPTION2	FORCE_OPTS.FrcPerVisible

FRSIRB_OPTS.OPTION0  	FRSIRB_OPTS.TreatIN1AsWild
FRSIRB_OPTS.OPTION1  	FRSIRB_OPTS.BKCAL_OUTWithCAS_IN
FRSIRB_OPTS.OPTION2  	FRSIRB_OPTS.SPBalance
FRSIRB_OPTS.OPTION3  	FRSIRB_OPTS.BackCalculate

FSTATE_OPTS.OPTION1	FSTATE_OPTS.EnableCasInD 
FSTATE_OPTS.OPTION2	FSTATE_OPTS.EnableOutput
FSTATE_OPTS.OPTION3	FSTATE_OPTS.EnablePvD

HART_ERRORS.OPTION0  	HART_ERRORS.IgnorePVOutOfLimits
HART_ERRORS.OPTION1  	HART_ERRORS.IgnoreNPVOutOfLimits
HART_ERRORS.OPTION2  	HART_ERRORS.IgnorePVOutputSaturated
HART_ERRORS.OPTION3  	HART_ERRORS.IgnorePVOutputFixed
HART_ERRORS.OPTION6  	HART_ERRORS.IgnoreNoCommsError
HART_ERRORS.OPTION7  	HART_ERRORS.IgnoreFldDeviceMalfunction
HART_ERRORS.OPTION8  	HART_ERRORS.IgnoreLossOfDigitalComms
HART_ERRORS.OPTION9  	HART_ERRORS.OverrideUnsupportedDeviceScale

INTEG_OPTS.OPTION9   	INTEG_OPTS.Carry
INTEG_OPTS.OPTION10  	INTEG_OPTS.UseBad
INTEG_OPTS.OPTION11  	INTEG_OPTS.UseUncertain
INTEG_OPTS.OPTION12  	INTEG_OPTS.FlowReverse
INTEG_OPTS.OPTION13  	INTEG_OPTS.FlowForward
INTEG_OPTS.OPTION14  	INTEG_OPTS.In2AccumPulses
INTEG_OPTS.OPTION15  	INTEG_OPTS.In1AccumPulses

IO_OPTS.OPTION5   	IO_OPTS.LowCutoffEnable
IO_OPTS.OPTION6   	IO_OPTS.UsePVForBKCAL_OUT
IO_OPTS.OPTION7   	IO_OPTS.TargetToManOnFail
IO_OPTS.OPTION8   	IO_OPTS.FSafeValueOnRestart
IO_OPTS.OPTION9   	IO_OPTS.FSafeToValue
IO_OPTS.OPTION10  	IO_OPTS.IncrToClose
IO_OPTS.OPTION11  	IO_OPTS.SPTrackRetainedTarg
IO_OPTS.OPTION12  	IO_OPTS.SPPVTrkInLOIMan
IO_OPTS.OPTION14  	IO_OPTS.SPPVTrkInMan
IO_OPTS.OPTION15  	IO_OPTS.Invert

MERROR_MASK.OPTION2  	MERROR_MASK.Algorithm
MERROR_MASK.OPTION3  	MERROR_MASK.IOInput
MERROR_MASK.OPTION4  	MERROR_MASK.IOOutput
MERROR_MASK.OPTION5  	MERROR_MASK.InputTransfer
MERROR_MASK.OPTION6  	MERROR_MASK.OutputTransfer
MERROR_MASK.OPTION7  	MERROR_MASK.AlarmProcessing
MERROR_MASK.OPTION8  	MERROR_MASK.FBBadActive

MODE.OOS_P   		MODE.OOS_Permitted
MODE.MAN_P   		MODE.Man_Permitted
MODE.AUTO_P  		MODE.Auto_Permitted
MODE.CAS_P   		MODE.Cas_Permitted
MODE.RCAS_P  		MODE.RCas_Permitted
MODE.ROUT_P  		MODE.ROut_Permitted

MSTATUS_MASK.OPTION0  	MSTATUS_MASK.ComponentDisabled
MSTATUS_MASK.OPTION1  	MSTATUS_MASK.ComponentError
MSTATUS_MASK.OPTION2  	MSTATUS_MASK.OutOfService
MSTATUS_MASK.OPTION3  	MSTATUS_MASK.BreakpointSet
MSTATUS_MASK.OPTION4  	MSTATUS_MASK.DebugViewActive
MSTATUS_MASK.OPTION5  	MSTATUS_MASK.ValueForced
MSTATUS_MASK.OPTION6  	MSTATUS_MASK.UnresolvedReference
MSTATUS_MASK.OPTION7  	MSTATUS_MASK.NotRunning
MSTATUS_MASK.OPTION10  	MSTATUS_MASK.FBAbnormalActive

REPORT_OPTS.OPTION0	REPORT_OPTS.NoRollup
REPORT_OPTS.OPTION1	REPORT_OPTS.NoEventRecords

STATUS_OPTS.OPTION5   	STATUS_OPTS.DoNotSelIfNotCas
STATUS_OPTS.OPTION6   	STATUS_OPTS.DoNotSelIfAuto
STATUS_OPTS.OPTION7   	STATUS_OPTS.UncIfMan
STATUS_OPTS.OPTION8   	STATUS_OPTS.BadIfLimited
STATUS_OPTS.OPTION9   	STATUS_OPTS.UncIfLimited
STATUS_OPTS.OPTION10  	STATUS_OPTS.TargToManIfBadIn
STATUS_OPTS.OPTION11  	STATUS_OPTS.PropFailBackward
STATUS_OPTS.OPTION12  	STATUS_OPTS.PropFailForward
STATUS_OPTS.OPTION13  	STATUS_OPTS.UseUncAsGood
STATUS_OPTS.OPTION14  	STATUS_OPTS.IFSifBadCAS_IN
STATUS_OPTS.OPTION15  	STATUS_OPTS.IFSifBadIN

ADP_OPTIONS.OPTION0 	ADP_OPTIONS.FRSI_ADAPT_FFDirectAct
ADP_OPTIONS.OPTION1 	ADP_OPTIONS.FRSI_ADAPT_FFDynamicComp
ADP_OPTIONS.OPTION2 	ADP_OPTIONS.FRSI_ADAPT_TuningForSlave
ADP_OPTIONS.OPTION3 	ADP_OPTIONS.FRSI_ADAPT_AutoPVFilter
ADP_OPTIONS.OPTION4 	ADP_OPTIONS.FRSI_ADAPT_UseTargetMode

PLUGINSTAT_OPTS.OPTION0	PLUGINSTAT_OPTS.PLUGIN_OPTS_Adapt
